threads,skew,src_mem_kb,total_mem_kb,execution_time,inputdatacached
1,1,512,1.5,0.0310427,0
2,1,512,1.5,0.023506,0
3,1,512,1.5,0.0225194,0
4,1,512,1.5,0.0211632,0
5,1,512,1.5,0.0186178,0
6,1,512,1.5,0.0191624,0
7,1,512,1.5,0.0190113,0
8,1,512,1.5,0.0169936,0
9,1,512,1.5,0.0173834,0
10,1,512,1.5,0.017194,0
11,1,512,1.5,0.016543,0
12,1,512,1.5,0.0167534,0
1,1,1024,3.000000000000001,0.189802,0
2,1,1024,3.000000000000001,0.120457,0
3,1,1024,3.000000000000001,0.0979692,0
4,1,1024,3.000000000000001,0.0825822,0
5,1,1024,3.000000000000001,0.074062,0
6,1,1024,3.000000000000001,0.0666768,0
7,1,1024,3.000000000000001,0.0632079,0
8,1,1024,3.000000000000001,0.0589274,0
9,1,1024,3.000000000000001,0.0559,0
10,1,1024,3.000000000000001,0.0577063,0
11,1,1024,3.000000000000001,0.0532497,0
12,1,1024,3.000000000000001,0.0493548,0
1,1,2048,6.0,0.370755,0
2,1,2048,6.0,0.200978,0
3,1,2048,6.0,0.144664,0
4,1,2048,6.0,0.114939,0
5,1,2048,6.0,0.0974651,0
6,1,2048,6.0,0.0875686,0
7,1,2048,6.0,0.0818178,0
8,1,2048,6.0,0.0785598,0
9,1,2048,6.0,0.0728159,0
10,1,2048,6.0,0.0697522,0
11,1,2048,6.0,0.0651585,0
12,1,2048,6.0,0.0667048,0
1,1,3048,8.929687500000002,0.910914,0
2,1,3048,8.929687500000002,0.729828,0
3,1,3048,8.929687500000002,0.474852,0
4,1,3048,8.929687500000002,0.402522,0
5,1,3048,8.929687500000002,0.342669,0
6,1,3048,8.929687500000002,0.344469,0
7,1,3048,8.929687500000002,0.289945,0
8,1,3048,8.929687500000002,0.29455,0
9,1,3048,8.929687500000002,0.249089,0
10,1,3048,8.929687500000002,0.217864,0
11,1,3048,8.929687500000002,0.250993,0
12,1,3048,8.929687500000002,0.2253,0
1,1,6144,17.999999999999996,2.83334,0
2,1,6144,17.999999999999996,1.40723,0
3,1,6144,17.999999999999996,1.10042,0
4,1,6144,17.999999999999996,0.876964,0
5,1,6144,17.999999999999996,0.702144,0
6,1,6144,17.999999999999996,0.562878,0
7,1,6144,17.999999999999996,0.512265,0
8,1,6144,17.999999999999996,0.531534,0
9,1,6144,17.999999999999996,0.471242,0
10,1,6144,17.999999999999996,0.417593,0
11,1,6144,17.999999999999996,0.427567,0
12,1,6144,17.999999999999996,0.418267,0
