src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
5120,5120,5120,5120,32,1,51200,150.0,0.068393,0.0677649,0,false,M values: M=5120, M_blk=64, M_tail=0, M_chunks=20, M_chunk_elems=256, num_M_blocks=80, M_chunk_size=4,N values: N=5120, N_blk=64, N_tail=0, N_chunks=16, N_chunk_elems=320, num_N_blocks=80, N_chunk_size=5,K values: K=5120, K_blk=1024, K_tail=0, K_chunks=5, K_chunk_elems=1024,
src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
96,96,96,96,1,1,18,0.052734375,0.0129796,0.0131979,0,false,M values: M=96, M_blk=64, M_tail=32, M_chunks=1, M_chunk_elems=128, num_M_blocks=2, M_chunk_size=2,N values: N=96, N_blk=64, N_tail=32, N_chunks=1, N_chunk_elems=128, num_N_blocks=2, N_chunk_size=2,K values: K=96, K_blk=96, K_tail=0, K_chunks=1, K_chunk_elems=96,
96,96,96,96,2,1,18,0.052734375,0.00252383,0.00284944,0,false,M values: M=96, M_blk=48, M_tail=0, M_chunks=1, M_chunk_elems=96, num_M_blocks=2, M_chunk_size=2,N values: N=96, N_blk=64, N_tail=32, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=96, K_blk=96, K_tail=0, K_chunks=1, K_chunk_elems=96,
96,96,96,96,3,1,18,0.052734375,0.00264862,0.00256693,0,false,M values: M=96, M_blk=32, M_tail=0, M_chunks=3, M_chunk_elems=32, num_M_blocks=3, M_chunk_size=1,N values: N=96, N_blk=64, N_tail=32, N_chunks=1, N_chunk_elems=128, num_N_blocks=2, N_chunk_size=2,K values: K=96, K_blk=96, K_tail=0, K_chunks=1, K_chunk_elems=96,
96,96,96,96,4,1,18,0.052734375,0.00246372,0.00247367,0,false,M values: M=96, M_blk=24, M_tail=0, M_chunks=2, M_chunk_elems=48, num_M_blocks=4, M_chunk_size=2,N values: N=96, N_blk=64, N_tail=32, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=96, K_blk=96, K_tail=0, K_chunks=1, K_chunk_elems=96,
96,96,96,96,5,1,18,0.052734375,0.00271968,0.00273868,0,false,M values: M=96, M_blk=24, M_tail=0, M_chunks=4, M_chunk_elems=24, num_M_blocks=4, M_chunk_size=1,N values: N=96, N_blk=64, N_tail=32, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=96, K_blk=96, K_tail=0, K_chunks=1, K_chunk_elems=96,
96,96,96,96,6,1,18,0.052734375,0.00270509,0.00263069,0,false,M values: M=96, M_blk=32, M_tail=0, M_chunks=3, M_chunk_elems=32, num_M_blocks=3, M_chunk_size=1,N values: N=96, N_blk=64, N_tail=32, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=96, K_blk=96, K_tail=0, K_chunks=1, K_chunk_elems=96,
96,96,96,96,7,1,18,0.052734375,0.00276771,0.00285159,0,false,M values: M=96, M_blk=24, M_tail=0, M_chunks=4, M_chunk_elems=24, num_M_blocks=4, M_chunk_size=1,N values: N=96, N_blk=64, N_tail=32, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=96, K_blk=96, K_tail=0, K_chunks=1, K_chunk_elems=96,
96,96,96,96,8,1,18,0.052734375,0.00280559,0.00300769,0,false,M values: M=96, M_blk=24, M_tail=0, M_chunks=4, M_chunk_elems=24, num_M_blocks=4, M_chunk_size=1,N values: N=96, N_blk=64, N_tail=32, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=96, K_blk=96, K_tail=0, K_chunks=1, K_chunk_elems=96,
96,96,96,96,9,1,18,0.052734375,0.00301633,0.00298976,0,false,M values: M=96, M_blk=24, M_tail=0, M_chunks=4, M_chunk_elems=24, num_M_blocks=4, M_chunk_size=1,N values: N=96, N_blk=64, N_tail=32, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=96, K_blk=96, K_tail=0, K_chunks=1, K_chunk_elems=96,
96,96,96,96,10,1,18,0.052734375,0.00294657,0.0029015,0,false,M values: M=96, M_blk=24, M_tail=0, M_chunks=4, M_chunk_elems=24, num_M_blocks=4, M_chunk_size=1,N values: N=96, N_blk=64, N_tail=32, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=96, K_blk=96, K_tail=0, K_chunks=1, K_chunk_elems=96,
96,96,96,96,11,1,18,0.052734375,0.00289587,0.00307427,0,false,M values: M=96, M_blk=24, M_tail=0, M_chunks=4, M_chunk_elems=24, num_M_blocks=4, M_chunk_size=1,N values: N=96, N_blk=64, N_tail=32, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=96, K_blk=96, K_tail=0, K_chunks=1, K_chunk_elems=96,
96,96,96,96,12,1,18,0.052734375,0.0032324,0.00329521,0,false,M values: M=96, M_blk=24, M_tail=0, M_chunks=4, M_chunk_elems=24, num_M_blocks=4, M_chunk_size=1,N values: N=96, N_blk=64, N_tail=32, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=96, K_blk=96, K_tail=0, K_chunks=1, K_chunk_elems=96,
128,128,128,128,1,1,32,0.09375,0.00201768,0.00195204,0,false,M values: M=128, M_blk=64, M_tail=0, M_chunks=1, M_chunk_elems=128, num_M_blocks=2, M_chunk_size=2,N values: N=128, N_blk=64, N_tail=0, N_chunks=1, N_chunk_elems=128, num_N_blocks=2, N_chunk_size=2,K values: K=128, K_blk=128, K_tail=0, K_chunks=1, K_chunk_elems=128,
