src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
96,96,96,96,1,1,18,0.84375,0.0136338,0.0138206,0,false,M values: M=96, M_blk=64, M_tail=32, M_chunks=1, M_chunk_elems=128, num_M_blocks=2, M_chunk_size=2,N values: N=96, N_blk=64, N_tail=32, N_chunks=1, N_chunk_elems=128, num_N_blocks=2, N_chunk_size=2,K values: K=96, K_blk=96, K_tail=0, K_chunks=1, K_chunk_elems=96,
96,96,96,96,2,1,18,0.84375,0.00358721,0.00363826,0,false,M values: M=96, M_blk=48, M_tail=0, M_chunks=1, M_chunk_elems=96, num_M_blocks=2, M_chunk_size=2,N values: N=96, N_blk=64, N_tail=32, N_chunks=1, N_chunk_elems=128, num_N_blocks=2, N_chunk_size=2,K values: K=96, K_blk=96, K_tail=0, K_chunks=1, K_chunk_elems=96,
96,96,96,96,3,1,18,0.84375,0.00357287,0.00346867,0,false,M values: M=96, M_blk=48, M_tail=0, M_chunks=1, M_chunk_elems=96, num_M_blocks=2, M_chunk_size=2,N values: N=96, N_blk=64, N_tail=32, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=96, K_blk=96, K_tail=0, K_chunks=1, K_chunk_elems=96,
96,96,96,96,4,1,18,0.84375,0.00349546,0.00333021,0,false,M values: M=96, M_blk=48, M_tail=0, M_chunks=1, M_chunk_elems=96, num_M_blocks=2, M_chunk_size=2,N values: N=96, N_blk=64, N_tail=32, N_chunks=1, N_chunk_elems=128, num_N_blocks=2, N_chunk_size=2,K values: K=96, K_blk=96, K_tail=0, K_chunks=1, K_chunk_elems=96,
96,96,96,96,5,1,18,0.84375,0.00332057,0.00327847,0,false,M values: M=96, M_blk=48, M_tail=0, M_chunks=1, M_chunk_elems=96, num_M_blocks=2, M_chunk_size=2,N values: N=96, N_blk=64, N_tail=32, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=96, K_blk=96, K_tail=0, K_chunks=1, K_chunk_elems=96,
96,96,96,96,6,1,18,0.84375,0.00356415,0.00354117,0,false,M values: M=96, M_blk=48, M_tail=0, M_chunks=1, M_chunk_elems=96, num_M_blocks=2, M_chunk_size=2,N values: N=96, N_blk=64, N_tail=32, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=96, K_blk=96, K_tail=0, K_chunks=1, K_chunk_elems=96,
96,96,96,96,7,1,18,0.84375,0.00343342,0.0034491,0,false,M values: M=96, M_blk=48, M_tail=0, M_chunks=1, M_chunk_elems=96, num_M_blocks=2, M_chunk_size=2,N values: N=96, N_blk=64, N_tail=32, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=96, K_blk=96, K_tail=0, K_chunks=1, K_chunk_elems=96,
96,96,96,96,8,1,18,0.84375,0.00356728,0.00358412,0,false,M values: M=96, M_blk=48, M_tail=0, M_chunks=1, M_chunk_elems=96, num_M_blocks=2, M_chunk_size=2,N values: N=96, N_blk=64, N_tail=32, N_chunks=1, N_chunk_elems=128, num_N_blocks=2, N_chunk_size=2,K values: K=96, K_blk=96, K_tail=0, K_chunks=1, K_chunk_elems=96,
96,96,96,96,9,1,18,0.84375,0.00367314,0.0038244,0,false,M values: M=96, M_blk=48, M_tail=0, M_chunks=1, M_chunk_elems=96, num_M_blocks=2, M_chunk_size=2,N values: N=96, N_blk=64, N_tail=32, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=96, K_blk=96, K_tail=0, K_chunks=1, K_chunk_elems=96,
96,96,96,96,10,1,18,0.84375,0.00367206,0.0037619,0,false,M values: M=96, M_blk=48, M_tail=0, M_chunks=1, M_chunk_elems=96, num_M_blocks=2, M_chunk_size=2,N values: N=96, N_blk=64, N_tail=32, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=96, K_blk=96, K_tail=0, K_chunks=1, K_chunk_elems=96,
96,96,96,96,11,1,18,0.84375,0.00362315,0.00407703,0,false,M values: M=96, M_blk=48, M_tail=0, M_chunks=2, M_chunk_elems=48, num_M_blocks=2, M_chunk_size=1,N values: N=96, N_blk=64, N_tail=32, N_chunks=2, N_chunk_elems=64, num_N_blocks=2, N_chunk_size=1,K values: K=96, K_blk=96, K_tail=0, K_chunks=1, K_chunk_elems=96,
