stch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
1,7662,7662,7662,7662,8,1,114688,336.0,0.684493,0.691202,0,false,M values: M=7662, M_blk=64, M_tail=46, M_chunks=30, M_chunk_elems=256, num_M_blocks=120, M_chunk_size=4,N values: N=7662, N_blk=64, N_tail=46, N_chunks=60, N_chunk_elems=128, num_N_blocks=120, N_chunk_size=2,K values: K=7662, K_blk=32, K_tail=14, K_chunks=5, K_chunk_elems=1536,
1,7662,7662,7662,7662,16,1,114688,336.0,0.394846,0.413472,0,false,M values: M=7662, M_blk=64, M_tail=46, M_chunks=30, M_chunk_elems=256, num_M_blocks=120, M_chunk_size=4,N values: N=7662, N_blk=64, N_tail=46, N_chunks=120, N_chunk_elems=64, num_N_blocks=120, N_chunk_size=1,K values: K=7662, K_blk=32, K_tail=14, K_chunks=4, K_chunk_elems=1920,
1,7662,7662,7662,7662,32,1,114688,336.0,0.238229,0.230622,0,false,M values: M=7662, M_blk=64, M_tail=46, M_chunks=30, M_chunk_elems=256, num_M_blocks=120, M_chunk_size=4,N values: N=7662, N_blk=64, N_tail=46, N_chunks=120, N_chunk_elems=64, num_N_blocks=120, N_chunk_size=1,K values: K=7662, K_blk=32, K_tail=14, K_chunks=4, K_chunk_elems=1920,
1,4096,4096,4096,4096,8,1,32768,96.0,0.0865981,0.0955787,0,false,M values: M=4096, M_blk=64, M_tail=0, M_chunks=16, M_chunk_elems=256, num_M_blocks=64, M_chunk_size=4,N values: N=4096, N_blk=64, N_tail=0, N_chunks=16, N_chunk_elems=256, num_N_blocks=64, N_chunk_size=4,K values: K=4096, K_blk=1024, K_tail=0, K_chunks=4, K_chunk_elems=1024,
1,4096,4096,4096,4096,16,1,32768,96.0,0.0513137,0.053287,0,false,M values: M=4096, M_blk=64, M_tail=0, M_chunks=16, M_chunk_elems=256, num_M_blocks=64, M_chunk_size=4,N values: N=4096, N_blk=64, N_tail=0, N_chunks=16, N_chunk_elems=256, num_N_blocks=64, N_chunk_size=4,K values: K=4096, K_blk=1024, K_tail=0, K_chunks=4, K_chunk_elems=1024,
1,4096,4096,4096,4096,32,1,32768,96.0,0.0367307,0.0342723,0,false,M values: M=4096, M_blk=64, M_tail=0, M_chunks=16, M_chunk_elems=256, num_M_blocks=64, M_chunk_size=4,N values: N=4096, N_blk=64, N_tail=0, N_chunks=16, N_chunk_elems=256, num_N_blocks=64, N_chunk_size=4,K values: K=4096, K_blk=1024, K_tail=0, K_chunks=4, K_chunk_elems=1024,
1,2048,2048,2048,2048,8,1,8192,24.0,0.017587,0.0171531,0,false,M values: M=2048, M_blk=64, M_tail=0, M_chunks=8, M_chunk_elems=256, num_M_blocks=32, M_chunk_size=4,N values: N=2048, N_blk=64, N_tail=0, N_chunks=8, N_chunk_elems=256, num_N_blocks=32, N_chunk_size=4,K values: K=2048, K_blk=1024, K_tail=0, K_chunks=2, K_chunk_elems=1024,
1,2048,2048,2048,2048,16,1,8192,24.0,0.0136825,0.0137049,0,false,M values: M=2048, M_blk=64, M_tail=0, M_chunks=8, M_chunk_elems=256, num_M_blocks=32, M_chunk_size=4,N values: N=2048, N_blk=64, N_tail=0, N_chunks=8, N_chunk_elems=256, num_N_blocks=32, N_chunk_size=4,K values: K=2048, K_blk=1024, K_tail=0, K_chunks=2, K_chunk_elems=1024,
1,2048,2048,2048,2048,32,1,8192,24.0,0.0134623,0.0143691,0,false,M values: M=2048, M_blk=64, M_tail=0, M_chunks=8, M_chunk_elems=256, num_M_blocks=32, M_chunk_size=4,N values: N=2048, N_blk=64, N_tail=0, N_chunks=8, N_chunk_elems=256, num_N_blocks=32, N_chunk_size=4,K values: K=2048, K_blk=1024, K_tail=0, K_chunks=2, K_chunk_elems=1024,
16,7662,7662,7662,7662,8,1,114688,5376.0,12.2299,12.3251,0,false,M values: M=7662, M_blk=64, M_tail=46, M_chunks=30, M_chunk_elems=256, num_M_blocks=120, M_chunk_size=4,N values: N=7662, N_blk=64, N_tail=46, N_chunks=60, N_chunk_elems=128, num_N_blocks=120, N_chunk_size=2,K values: K=7662, K_blk=32, K_tail=14, K_chunks=5, K_chunk_elems=1536,
16,7662,7662,7662,7662,16,1,114688,5376.0,6.44298,6.42452,0,false,M values: M=7662, M_blk=64, M_tail=46, M_chunks=30, M_chunk_elems=256, num_M_blocks=120, M_chunk_size=4,N values: N=7662, N_blk=64, N_tail=46, N_chunks=60, N_chunk_elems=128, num_N_blocks=120, N_chunk_size=2,K values: K=7662, K_blk=32, K_tail=14, K_chunks=5, K_chunk_elems=1536,
