threads,execution_time_1.5,execution_time_3.0,execution_time_6.0,execution_time_8.9,execution_time_18.0
1,0.0310427,0.189802,0.370755,0.910914,2.83334
2,0.023506,0.120457,0.200978,0.729828,1.40723
3,0.0225194,0.0979692,0.144664,0.474852,1.10042
4,0.0211632,0.0825822,0.114939,0.402522,0.876964
5,0.0186178,0.074062,0.0974651,0.342669,0.702144
6,0.0191624,0.0666768,0.0875686,0.344469,0.562878
7,0.0190113,0.0632079,0.0818178,0.289945,0.512265
8,0.0169936,0.0589274,0.0785598,0.29455,0.531534
9,0.0173834,0.0559,0.0728159,0.249089,0.471242
10,0.017194,0.0577063,0.0697522,0.217864,0.417593
11,0.016543,0.0532497,0.0651585,0.250993,0.427567
12,0.0167534,0.0493548,0.0667048,0.2253,0.418267
