BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
256,32,1024,1024,1024,1024,64,1,2048,192.0,1.50992,1.48586,0,false,M values: M=32768, M_blk=256, M_tail=0, M_chunks=128, M_chunk_elems=256, num_M_blocks=128, M_chunk_size=1,N values: N=1024, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=256, num_N_blocks=16, N_chunk_size=4,K values: K=1024, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=32768,
256,32,1024,1024,1024,1024,32,1,2048,192.0,2.73309,2.69732,0,false,M values: M=32768, M_blk=256, M_tail=0, M_chunks=128, M_chunk_elems=256, num_M_blocks=128, M_chunk_size=1,N values: N=1024, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=256, num_N_blocks=16, N_chunk_size=4,K values: K=1024, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=32768,
256,32,4096,4096,4096,4096,64,1,32768,3072.0,212.378,209.006,0,false,M values: M=131072, M_blk=256, M_tail=0, M_chunks=512, M_chunk_elems=256, num_M_blocks=512, M_chunk_size=1,N values: N=4096, N_blk=64, N_tail=0, N_chunks=16, N_chunk_elems=256, num_N_blocks=64, N_chunk_size=4,K values: K=4096, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=32768,
256,32,4096,4096,4096,4096,32,1,32768,3072.0,285.211,287.416,0,false,M values: M=131072, M_blk=256, M_tail=0, M_chunks=512, M_chunk_elems=256, num_M_blocks=512, M_chunk_size=1,N values: N=4096, N_blk=64, N_tail=0, N_chunks=16, N_chunk_elems=256, num_N_blocks=64, N_chunk_size=4,K values: K=4096, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=32768,
256,32,7094,7094,7094,7094,64,1,98304,9215.999999999998,686.031,691.148,0,false,M values: M=227008, M_blk=256, M_tail=192, M_chunks=887, M_chunk_elems=256, num_M_blocks=887, M_chunk_size=1,N values: N=7094, N_blk=64, N_tail=54, N_chunks=28, N_chunk_elems=256, num_N_blocks=111, N_chunk_size=4,K values: K=7094, K_blk=32, K_tail=22, K_chunks=7, K_chunk_elems=1024,
256,32,7094,7094,7094,7094,32,1,98304,9215.999999999998,1227.81,1217.93,0,false,M values: M=227008, M_blk=256, M_tail=192, M_chunks=887, M_chunk_elems=256, num_M_blocks=887, M_chunk_size=1,N values: N=7094, N_blk=64, N_tail=54, N_chunks=28, N_chunk_elems=256, num_N_blocks=111, N_chunk_size=4,K values: K=7094, K_blk=32, K_tail=22, K_chunks=7, K_chunk_elems=1024,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
512,32,1024,1024,1024,1024,64,1,2048,192.0,1.25805,1.24994,0,false,M values: M=32768, M_blk=512, M_tail=0, M_chunks=64, M_chunk_elems=512, num_M_blocks=64, M_chunk_size=1,N values: N=1024, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=512, num_N_blocks=16, N_chunk_size=8,K values: K=1024, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=32768,
512,32,1024,1024,1024,1024,32,1,2048,192.0,2.36607,2.34147,0,false,M values: M=32768, M_blk=512, M_tail=0, M_chunks=64, M_chunk_elems=512, num_M_blocks=64, M_chunk_size=1,N values: N=1024, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=512, num_N_blocks=16, N_chunk_size=8,K values: K=1024, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=32768,
512,32,4096,4096,4096,4096,64,1,32768,3072.0,182.458,182.303,0,false,M values: M=131072, M_blk=512, M_tail=0, M_chunks=256, M_chunk_elems=512, num_M_blocks=256, M_chunk_size=1,N values: N=4096, N_blk=64, N_tail=0, N_chunks=8, N_chunk_elems=512, num_N_blocks=64, N_chunk_size=8,K values: K=4096, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=32768,
512,32,4096,4096,4096,4096,32,1,32768,3072.0,234.795,234.589,0,false,M values: M=131072, M_blk=512, M_tail=0, M_chunks=256, M_chunk_elems=512, num_M_blocks=256, M_chunk_size=1,N values: N=4096, N_blk=64, N_tail=0, N_chunks=8, N_chunk_elems=512, num_N_blocks=64, N_chunk_size=8,K values: K=4096, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=32768,
512,32,7094,7094,7094,7094,64,1,98304,9215.999999999998,738.978,739.757,0,false,M values: M=227008, M_blk=512, M_tail=192, M_chunks=444, M_chunk_elems=512, num_M_blocks=444, M_chunk_size=1,N values: N=7094, N_blk=64, N_tail=54, N_chunks=14, N_chunk_elems=512, num_N_blocks=111, N_chunk_size=8,K values: K=7094, K_blk=32, K_tail=22, K_chunks=7, K_chunk_elems=1024,
512,32,7094,7094,7094,7094,32,1,98304,9215.999999999998,1239.73,1241.42,0,false,M values: M=227008, M_blk=512, M_tail=192, M_chunks=444, M_chunk_elems=512, num_M_blocks=444, M_chunk_size=1,N values: N=7094, N_blk=64, N_tail=54, N_chunks=14, N_chunk_elems=512, num_N_blocks=111, N_chunk_size=8,K values: K=7094, K_blk=32, K_tail=22, K_chunks=7, K_chunk_elems=1024,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
768,32,1024,1024,1024,1024,64,1,2048,192.0,1.73587,1.70694,0,false,M values: M=32768, M_blk=768, M_tail=512, M_chunks=43, M_chunk_elems=768, num_M_blocks=43, M_chunk_size=1,N values: N=1024, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=768, num_N_blocks=16, N_chunk_size=12,K values: K=1024, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=32768,
768,32,1024,1024,1024,1024,32,1,2048,192.0,2.92127,2.91338,0,false,M values: M=32768, M_blk=768, M_tail=512, M_chunks=43, M_chunk_elems=768, num_M_blocks=43, M_chunk_size=1,N values: N=1024, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=768, num_N_blocks=16, N_chunk_size=12,K values: K=1024, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=32768,
768,32,4096,4096,4096,4096,64,1,32768,3072.0,189.727,190.531,0,false,M values: M=131072, M_blk=768, M_tail=512, M_chunks=171, M_chunk_elems=768, num_M_blocks=171, M_chunk_size=1,N values: N=4096, N_blk=64, N_tail=0, N_chunks=6, N_chunk_elems=768, num_N_blocks=64, N_chunk_size=12,K values: K=4096, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=32768,
768,32,4096,4096,4096,4096,32,1,32768,3072.0,225.732,225.852,0,false,M values: M=131072, M_blk=768, M_tail=512, M_chunks=171, M_chunk_elems=768, num_M_blocks=171, M_chunk_size=1,N values: N=4096, N_blk=64, N_tail=0, N_chunks=6, N_chunk_elems=768, num_N_blocks=64, N_chunk_size=12,K values: K=4096, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=32768,
768,32,7094,7094,7094,7094,64,1,98304,9215.999999999998,1124.36,1125.01,0,false,M values: M=227008, M_blk=768, M_tail=448, M_chunks=296, M_chunk_elems=768, num_M_blocks=296, M_chunk_size=1,N values: N=7094, N_blk=64, N_tail=54, N_chunks=10, N_chunk_elems=768, num_N_blocks=111, N_chunk_size=12,K values: K=7094, K_blk=32, K_tail=22, K_chunks=7, K_chunk_elems=1024,
768,32,7094,7094,7094,7094,32,1,98304,9215.999999999998,1513.78,1510.04,0,false,M values: M=227008, M_blk=768, M_tail=448, M_chunks=296, M_chunk_elems=768, num_M_blocks=296, M_chunk_size=1,N values: N=7094, N_blk=64, N_tail=54, N_chunks=10, N_chunk_elems=768, num_N_blocks=111, N_chunk_size=12,K values: K=7094, K_blk=32, K_tail=22, K_chunks=7, K_chunk_elems=1024,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
None,32,1024,1024,1024,1024,64,1,2048,192.0,1.55809,1.57134,0,false,M values: M=32768, M_blk=64, M_tail=0, M_chunks=128, M_chunk_elems=256, num_M_blocks=512, M_chunk_size=4,N values: N=1024, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=256, num_N_blocks=16, N_chunk_size=4,K values: K=1024, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=1024,
