BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
64,1,1024,1024,1024,1024,64,1,2048,6.0,0.0832699,0.0819943,0,false,M values: M=1024, M_blk=64, M_tail=0, M_chunks=16, M_chunk_elems=64, num_M_blocks=16, M_chunk_size=1,N values: N=1024, N_blk=64, N_tail=0, N_chunks=16, N_chunk_elems=64, num_N_blocks=16, N_chunk_size=1,K values: K=1024, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=1024,
64,1,1024,1024,1024,1024,1,1,2048,6.0,4.99308,4.99305,0,false,M values: M=1024, M_blk=64, M_tail=0, M_chunks=16, M_chunk_elems=64, num_M_blocks=16, M_chunk_size=1,N values: N=1024, N_blk=64, N_tail=0, N_chunks=16, N_chunk_elems=64, num_N_blocks=16, N_chunk_size=1,K values: K=1024, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=1024,
64,1,4096,4096,4096,4096,64,1,32768,96.0,6.61806,6.53654,0,false,M values: M=4096, M_blk=64, M_tail=0, M_chunks=64, M_chunk_elems=64, num_M_blocks=64, M_chunk_size=1,N values: N=4096, N_blk=64, N_tail=0, N_chunks=64, N_chunk_elems=64, num_N_blocks=64, N_chunk_size=1,K values: K=4096, K_blk=1024, K_tail=0, K_chunks=4, K_chunk_elems=1024,
64,1,4096,4096,4096,4096,1,1,32768,96.0,652.102,661.662,0,false,M values: M=4096, M_blk=64, M_tail=0, M_chunks=64, M_chunk_elems=64, num_M_blocks=64, M_chunk_size=1,N values: N=4096, N_blk=64, N_tail=0, N_chunks=64, N_chunk_elems=64, num_N_blocks=64, N_chunk_size=1,K values: K=4096, K_blk=32, K_tail=0, K_chunks=128, K_chunk_elems=32,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
256,1,1024,1024,1024,1024,64,1,2048,6.0,0.184681,0.182785,0,false,M values: M=1024, M_blk=256, M_tail=0, M_chunks=4, M_chunk_elems=256, num_M_blocks=4, M_chunk_size=1,N values: N=1024, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=256, num_N_blocks=16, N_chunk_size=4,K values: K=1024, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=1024,
256,1,1024,1024,1024,1024,1,1,2048,6.0,2.90896,2.89005,0,false,M values: M=1024, M_blk=256, M_tail=0, M_chunks=4, M_chunk_elems=256, num_M_blocks=4, M_chunk_size=1,N values: N=1024, N_blk=64, N_tail=0, N_chunks=4, N_chunk_elems=256, num_N_blocks=16, N_chunk_size=4,K values: K=1024, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=1024,
256,1,4096,4096,4096,4096,64,1,32768,96.0,3.42191,3.37713,0,false,M values: M=4096, M_blk=256, M_tail=0, M_chunks=16, M_chunk_elems=256, num_M_blocks=16, M_chunk_size=1,N values: N=4096, N_blk=64, N_tail=0, N_chunks=16, N_chunk_elems=256, num_N_blocks=64, N_chunk_size=4,K values: K=4096, K_blk=1024, K_tail=0, K_chunks=4, K_chunk_elems=1024,
256,1,4096,4096,4096,4096,1,1,32768,96.0,403.427,400.98,0,false,M values: M=4096, M_blk=256, M_tail=0, M_chunks=16, M_chunk_elems=256, num_M_blocks=16, M_chunk_size=1,N values: N=4096, N_blk=64, N_tail=0, N_chunks=16, N_chunk_elems=256, num_N_blocks=64, N_chunk_size=4,K values: K=4096, K_blk=32, K_tail=0, K_chunks=128, K_chunk_elems=32,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
512,1,1024,1024,1024,1024,64,1,2048,6.0,0.560153,0.558907,0,false,M values: M=1024, M_blk=512, M_tail=0, M_chunks=2, M_chunk_elems=512, num_M_blocks=2, M_chunk_size=1,N values: N=1024, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=512, num_N_blocks=16, N_chunk_size=8,K values: K=1024, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=1024,
512,1,1024,1024,1024,1024,1,1,2048,6.0,2.44794,2.47461,0,false,M values: M=1024, M_blk=512, M_tail=0, M_chunks=2, M_chunk_elems=512, num_M_blocks=2, M_chunk_size=1,N values: N=1024, N_blk=64, N_tail=0, N_chunks=2, N_chunk_elems=512, num_N_blocks=16, N_chunk_size=8,K values: K=1024, K_blk=1024, K_tail=0, K_chunks=1, K_chunk_elems=1024,
