threads,skew,src_mem_kb,total_mem_kb,execution_time,inputdatacached
1,1,512,1.5,0.01387,0
2,1,512,1.5,0.0113603,0
12,1,512,1.5,0.00868445,0
24,1,512,1.5,0.00971126,0
36,1,512,1.5,0.0120942,0
1,1,6144,17.999999999999996,1.04159,0
2,1,6144,17.999999999999996,0.600202,0
12,1,6144,17.999999999999996,0.179019,0
24,1,6144,17.999999999999996,0.141504,0
36,1,6144,17.999999999999996,0.179127,0
1,1,12288,35.99999999999999,2.86682,0
2,1,12288,35.99999999999999,1.56609,0
12,1,12288,35.99999999999999,0.353166,0
24,1,12288,35.99999999999999,0.251202,0
36,1,12288,35.99999999999999,0.256874,0
1,1,71680,210.0,42.9862,0
2,1,71680,210.0,21.4425,0
12,1,71680,210.0,3.99265,0
24,1,71680,210.0,2.82529,0
36,1,71680,210.0,2.21991,0
1,1,102400,300.00000000000006,66.0585,0
2,1,102400,300.00000000000006,33.1764,0
12,1,102400,300.00000000000006,6.04613,0
24,1,102400,300.00000000000006,4.10469,0
36,1,102400,300.00000000000006,3.56907,0
1,1,524288,1536.0,927.027,0
2,1,524288,1536.0,455.978,0
12,1,524288,1536.0,85.9774,0
24,1,524288,1536.0,55.6879,0
36,1,524288,1536.0,45.5256,0
