BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
64,1,45,45,45,45,1,1,4,0.011718750000000003,0.0181403,0.0182187,0,false,M values: M=45, M_blk=64, M_tail=45, M_chunks=1, M_chunk_elems=64, num_M_blocks=1, M_chunk_size=1,N values: N=45, N_blk=64, N_tail=45, N_chunks=1, N_chunk_elems=64, num_N_blocks=1, N_chunk_size=1,K values: K=45, K_blk=64, K_tail=0, K_chunks=1, K_chunk_elems=64,
64,1,156,156,156,156,1,1,48,0.14062499999999997,0.0145062,0.0151243,0,false,M values: M=156, M_blk=64, M_tail=28, M_chunks=3, M_chunk_elems=64, num_M_blocks=3, M_chunk_size=1,N values: N=156, N_blk=64, N_tail=28, N_chunks=3, N_chunk_elems=64, num_N_blocks=3, N_chunk_size=1,K values: K=156, K_blk=64, K_tail=28, K_chunks=3, K_chunk_elems=64,
64,1,1024,1024,1024,1024,1,1,2048,6.0,0.923125,0.928773,0,false,M values: M=1024, M_blk=64, M_tail=0, M_chunks=16, M_chunk_elems=64, num_M_blocks=16, M_chunk_size=1,N values: N=1024, N_blk=64, N_tail=0, N_chunks=16, N_chunk_elems=64, num_N_blocks=16, N_chunk_size=1,K values: K=1024, K_blk=64, K_tail=0, K_chunks=16, K_chunk_elems=64,
64,1,4096,4096,4096,4096,1,1,32768,96.0,31.7262,32.1234,0,false,M values: M=4096, M_blk=64, M_tail=0, M_chunks=64, M_chunk_elems=64, num_M_blocks=64, M_chunk_size=1,N values: N=4096, N_blk=64, N_tail=0, N_chunks=64, N_chunk_elems=64, num_N_blocks=64, N_chunk_size=1,K values: K=4096, K_blk=64, K_tail=0, K_chunks=64, K_chunk_elems=64,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
256,1,45,45,45,45,1,1,4,0.011718750000000003,0.0173878,0.0177452,0,false,M values: M=45, M_blk=256, M_tail=45, M_chunks=1, M_chunk_elems=256, num_M_blocks=1, M_chunk_size=1,N values: N=45, N_blk=256, N_tail=45, N_chunks=1, N_chunk_elems=256, num_N_blocks=1, N_chunk_size=1,K values: K=45, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
256,1,156,156,156,156,1,1,48,0.14062499999999997,0.00254791,0.00256129,0,false,M values: M=156, M_blk=256, M_tail=156, M_chunks=1, M_chunk_elems=256, num_M_blocks=1, M_chunk_size=1,N values: N=156, N_blk=256, N_tail=156, N_chunks=1, N_chunk_elems=256, num_N_blocks=1, N_chunk_size=1,K values: K=156, K_blk=256, K_tail=0, K_chunks=1, K_chunk_elems=256,
256,1,1024,1024,1024,1024,1,1,2048,6.0,0.0432314,0.0431924,0,false,M values: M=1024, M_blk=256, M_tail=0, M_chunks=4, M_chunk_elems=256, num_M_blocks=4, M_chunk_size=1,N values: N=1024, N_blk=256, N_tail=0, N_chunks=4, N_chunk_elems=256, num_N_blocks=4, N_chunk_size=1,K values: K=1024, K_blk=256, K_tail=0, K_chunks=4, K_chunk_elems=256,
256,1,4096,4096,4096,4096,1,1,32768,96.0,4.05296,4.07219,0,false,M values: M=4096, M_blk=256, M_tail=0, M_chunks=16, M_chunk_elems=256, num_M_blocks=16, M_chunk_size=1,N values: N=4096, N_blk=256, N_tail=0, N_chunks=16, N_chunk_elems=256, num_N_blocks=16, N_chunk_size=1,K values: K=4096, K_blk=256, K_tail=0, K_chunks=16, K_chunk_elems=256,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
512,1,45,45,45,45,1,1,4,0.011718750000000003,0.0183026,0.0181318,0,false,M values: M=45, M_blk=512, M_tail=45, M_chunks=1, M_chunk_elems=512, num_M_blocks=1, M_chunk_size=1,N values: N=45, N_blk=512, N_tail=45, N_chunks=1, N_chunk_elems=512, num_N_blocks=1, N_chunk_size=1,K values: K=45, K_blk=512, K_tail=0, K_chunks=1, K_chunk_elems=512,
