BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
64,1,1024,1024,1024,1024,32,1,2048,6.0,0.0239737,0.0244874,0,false,M values: M=1024, M_blk=64, M_tail=0, M_chunks=16, M_chunk_elems=64, num_M_blocks=16, M_chunk_size=1,N values: N=1024, N_blk=64, N_tail=0, N_chunks=16, N_chunk_elems=64, num_N_blocks=16, N_chunk_size=1,K values: K=1024, K_blk=64, K_tail=0, K_chunks=16, K_chunk_elems=64,
64,1,1024,1024,1024,1024,64,1,2048,6.0,0.0100775,0.0119819,0,false,M values: M=1024, M_blk=64, M_tail=0, M_chunks=16, M_chunk_elems=64, num_M_blocks=16, M_chunk_size=1,N values: N=1024, N_blk=64, N_tail=0, N_chunks=16, N_chunk_elems=64, num_N_blocks=16, N_chunk_size=1,K values: K=1024, K_blk=64, K_tail=0, K_chunks=16, K_chunk_elems=64,
64,1,4096,4096,4096,4096,32,1,32768,96.0,0.0557178,0.0557019,0,false,M values: M=4096, M_blk=64, M_tail=0, M_chunks=64, M_chunk_elems=64, num_M_blocks=64, M_chunk_size=1,N values: N=4096, N_blk=64, N_tail=0, N_chunks=64, N_chunk_elems=64, num_N_blocks=64, N_chunk_size=1,K values: K=4096, K_blk=64, K_tail=0, K_chunks=64, K_chunk_elems=64,
64,1,4096,4096,4096,4096,64,1,32768,96.0,0.0403642,0.0380243,0,false,M values: M=4096, M_blk=64, M_tail=0, M_chunks=64, M_chunk_elems=64, num_M_blocks=64, M_chunk_size=1,N values: N=4096, N_blk=64, N_tail=0, N_chunks=64, N_chunk_elems=64, num_N_blocks=64, N_chunk_size=1,K values: K=4096, K_blk=64, K_tail=0, K_chunks=64, K_chunk_elems=64,
64,1,7662,7662,7662,7662,32,1,114688,336.0,0.320692,0.342667,0,false,M values: M=7662, M_blk=64, M_tail=46, M_chunks=120, M_chunk_elems=64, num_M_blocks=120, M_chunk_size=1,N values: N=7662, N_blk=64, N_tail=46, N_chunks=120, N_chunk_elems=64, num_N_blocks=120, N_chunk_size=1,K values: K=7662, K_blk=64, K_tail=46, K_chunks=2, K_chunk_elems=3840,
64,1,7662,7662,7662,7662,64,1,114688,336.0,0.239878,0.24248,0,false,M values: M=7662, M_blk=64, M_tail=46, M_chunks=120, M_chunk_elems=64, num_M_blocks=120, M_chunk_size=1,N values: N=7662, N_blk=64, N_tail=46, N_chunks=120, N_chunk_elems=64, num_N_blocks=120, N_chunk_size=1,K values: K=7662, K_blk=64, K_tail=46, K_chunks=2, K_chunk_elems=3840,
64,1,11448,11448,11448,11448,32,1,256000,750.0000000000001,0.945556,0.977595,0,false,M values: M=11448, M_blk=64, M_tail=56, M_chunks=179, M_chunk_elems=64, num_M_blocks=179, M_chunk_size=1,N values: N=11448, N_blk=64, N_tail=56, N_chunks=179, N_chunk_elems=64, num_N_blocks=179, N_chunk_size=1,K values: K=11448, K_blk=64, K_tail=56, K_chunks=3, K_chunk_elems=3840,
64,1,11448,11448,11448,11448,64,1,256000,750.0000000000001,0.614222,0.663835,0,false,M values: M=11448, M_blk=64, M_tail=56, M_chunks=179, M_chunk_elems=64, num_M_blocks=179, M_chunk_size=1,N values: N=11448, N_blk=64, N_tail=56, N_chunks=179, N_chunk_elems=64, num_N_blocks=179, N_chunk_size=1,K values: K=11448, K_blk=64, K_tail=56, K_chunks=3, K_chunk_elems=3840,
BLK,batch_size,src_row,src_col,weight_row,weight_col,threads,skew,src_mem_kb,total_mem_mb,execution_time,S1,cacheinput,noamx,blockinfo
256,1,1024,1024,1024,1024,32,1,2048,6.0,0.0215318,0.0218417,0,false,M values: M=1024, M_blk=256, M_tail=0, M_chunks=4, M_chunk_elems=256, num_M_blocks=4, M_chunk_size=1,N values: N=1024, N_blk=256, N_tail=0, N_chunks=4, N_chunk_elems=256, num_N_blocks=4, N_chunk_size=1,K values: K=1024, K_blk=256, K_tail=0, K_chunks=4, K_chunk_elems=256,
256,1,1024,1024,1024,1024,64,1,2048,6.0,0.00679957,0.00929902,0,false,M values: M=1024, M_blk=256, M_tail=0, M_chunks=4, M_chunk_elems=256, num_M_blocks=4, M_chunk_size=1,N values: N=1024, N_blk=256, N_tail=0, N_chunks=4, N_chunk_elems=256, num_N_blocks=4, N_chunk_size=1,K values: K=1024, K_blk=256, K_tail=0, K_chunks=4, K_chunk_elems=256,
